,tag,text,major_label,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9
0,0,"Because Louis Barnes didn't fire the shot that killed a nurse, he may no longer face a manslaughter charge, a judge decided.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
1,0,"President Donald Trump has signed an order that will temporarily bar entry to the U.S. of foreign nationals, other than immediate family of U.S. citizens and permanent residents, who have traveled in China within the last 14 days.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
2,0,"Memorial days, like the Holocaust Remembrance Day and Martin Luther King Jr. Day, help us remember the horrors of the past so we don’t relive them.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,"The three-day strike at every location of health-care provider Swedish is over, but some nurses and other workers are still rallying outside the hospitals.",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2,Plan ahead for great Valentine’s Day date http://bhne.ws/NYj0nfa,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,0,"President Donald Trump has signed an order that will temporarily bar entry to the U.S. of foreign nationals, other than immediate family of U.S. citizens and permanent residents, who have traveled in China within the last 14 days.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
6,2,"L.F. Trottier & Sons, the longtime dealer of John Deere farm and garden equipment in the core of the Upper Valley, told employees on Friday that it is in discussions to sell the family-owned business to a large Texas-based distributor of John Deere equipment.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,2,The new record total exceeded the previous mark (set in 2018) by 7.4 percent.,2,-1,-1,-1,-1,-1,-1,-1,2,-1
8,0,"Arizona isn't making the grade when it comes to helping residents stay away from tobacco, according to a new report out this week.",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,2,"Whether you watch for the commercials or show up for the snacks, there's plenty of spots where you can enjoy the big game on Sunday.",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,2,"Just In: This ""huge supporter of local arts and local artists"" is saying goodbye to Denver.",1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,0,It’s time to show your support for your local favorites! Vote for Beat Monterey County by visiting www.mcweekly.com/bestof,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,History and excitement: a nice mix for the Super Bowl,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,0,"That's one expensive joint, Spencer. But what price freedom, right?",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,"Jade Lewis, 22, was nine months pregnant with her second son. She planned to name him Mydas. ""She was a beautiful mother,” her mom said.",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,2,"No matter which holiday you celebrate, these are the places to be.",2,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,0,It's not like I've been hopeful. It's not like I've been holding my breath. It's not like I didn't see the writing on the wall way back when Mitch McConnell screwed over Merrick Garland...,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,0,"With little fuss and not much fanfare, Britain left the European Union on Friday after 47 years of membership, taking a leap into the unknown in a historic blow to the bloc.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,2,"The biggest celebration of vegan food is headed to USF’s Botanical Gardens once again, as the annual Florida Vegan Gourmet Food Festival takes place tomorrow.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,0,"The suspect, who police want to question about the incident, was wearing a black T-shirt with a brown logo on the left side of the chest, black pants, slippers and a black and white baseball cap.",1,-1,-1,1,-1,-1,-1,-1,-1,-1
20,2,But will they have a room dedicated to finding all of those E.T. game cartridges in an Alamagordo landfill?,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,2,The Spokane Symphony Pops 4: Cherry Poppin' Daddies concert is Saturday at the Fox.,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,"Authorities described the incident as the actions of “an obviously impaired"" driver but not an intentional attack on President Donald Trump’s resort.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
23,0,"Tiffany Cabán, a public defender in New York City who almost won a grassroots campaign to become the top prosecutor in Queens, wants to dismantle what she deems a flawed criminal justice system.",1,-1,-1,-1,1,-1,3,-1,-1,-1
24,2,A deep exploration of Stephen Kaltenbach at Jan Shrem and Maria Manetti Shrem Museum of Art at UC Davis,1,-1,-1,1,-1,-1,-1,-1,-1,-1
25,2,This weekend you can experience some of hip-hop’s finest at Come Back to Earth at Crescent Ballroom.,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,0,"UPDATE: The Senate on Friday voted to block any witnesses from being called in President Donald Trump’s impeachment trial, a move that will mark the beginning of the end of the third Senate trial for a president in US history.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
27,2,Margot Robbie accessorizes with a chicken on the red carpet http://bhne.ws/PvFfkum,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,1,"As if further proof was needed, the Washington Interscholastic Activities Association RPI rankings has the Ellensburg High School girls ranked as the No. 1 2A girls basketball team in the state. The best team in the state plays Quincy at home tonight at 5:45 p.m. The boys game is at 7:15 p.m.",1,-1,-1,1,-1,-1,-1,-1,-1,-1
29,0,"UPDATE: The Senate on Friday voted to block any witnesses from being called in President Donald Trump’s impeachment trial, a move that will mark the beginning of the end of the third Senate trial for a president in US history.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
30,0,Durango Police installed a surveillance camera at Ninth Street and Main Avenue to monitor the crowd remotely.,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,0,"""This debate is not over and the House will take prompt action next week,"" House Speaker Mitzi Johnson (D-South Hero) said in a statement.",1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,0,"Caught on camera out at Cleveland Hopkins International Airport, snowy owls have officially migrated to Northeast Ohio.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
