,text
0,"Because Louis Barnes didn't fire the shot that killed a nurse, he may no longer face a manslaughter charge, a judge decided."
1,"President Donald Trump has signed an order that will temporarily bar entry to the U.S. of foreign nationals, other than immediate family of U.S. citizens and permanent residents, who have traveled in China within the last 14 days."
2,"Memorial days, like the Holocaust Remembrance Day and Martin Luther King Jr. Day, help us remember the horrors of the past so we don’t relive them."
3,"The three-day strike at every location of health-care provider Swedish is over, but some nurses and other workers are still rallying outside the hospitals."
4,Plan ahead for great Valentine’s Day date http://bhne.ws/NYj0nfa
5,"President Donald Trump has signed an order that will temporarily bar entry to the U.S. of foreign nationals, other than immediate family of U.S. citizens and permanent residents, who have traveled in China within the last 14 days."
6,"L.F. Trottier & Sons, the longtime dealer of John Deere farm and garden equipment in the core of the Upper Valley, told employees on Friday that it is in discussions to sell the family-owned business to a large Texas-based distributor of John Deere equipment."
7,The new record total exceeded the previous mark (set in 2018) by 7.4 percent.
8,"Arizona isn't making the grade when it comes to helping residents stay away from tobacco, according to a new report out this week."
9,"Whether you watch for the commercials or show up for the snacks, there's plenty of spots where you can enjoy the big game on Sunday."
10,"Just In: This ""huge supporter of local arts and local artists"" is saying goodbye to Denver."
11,It’s time to show your support for your local favorites! Vote for Beat Monterey County by visiting www.mcweekly.com/bestof
12,History and excitement: a nice mix for the Super Bowl
13,"That's one expensive joint, Spencer. But what price freedom, right?"
14,"Jade Lewis, 22, was nine months pregnant with her second son. She planned to name him Mydas. ""She was a beautiful mother,” her mom said."
15,"No matter which holiday you celebrate, these are the places to be."
16,It's not like I've been hopeful. It's not like I've been holding my breath. It's not like I didn't see the writing on the wall way back when Mitch McConnell screwed over Merrick Garland...
17,"With little fuss and not much fanfare, Britain left the European Union on Friday after 47 years of membership, taking a leap into the unknown in a historic blow to the bloc."
18,"The biggest celebration of vegan food is headed to USF’s Botanical Gardens once again, as the annual Florida Vegan Gourmet Food Festival takes place tomorrow."
19,"The suspect, who police want to question about the incident, was wearing a black T-shirt with a brown logo on the left side of the chest, black pants, slippers and a black and white baseball cap."
20,But will they have a room dedicated to finding all of those E.T. game cartridges in an Alamagordo landfill?
21,The Spokane Symphony Pops 4: Cherry Poppin' Daddies concert is Saturday at the Fox.
22,"Authorities described the incident as the actions of “an obviously impaired"" driver but not an intentional attack on President Donald Trump’s resort."
23,"Tiffany Cabán, a public defender in New York City who almost won a grassroots campaign to become the top prosecutor in Queens, wants to dismantle what she deems a flawed criminal justice system."
24,A deep exploration of Stephen Kaltenbach at Jan Shrem and Maria Manetti Shrem Museum of Art at UC Davis
25,This weekend you can experience some of hip-hop’s finest at Come Back to Earth at Crescent Ballroom.
26,"UPDATE: The Senate on Friday voted to block any witnesses from being called in President Donald Trump’s impeachment trial, a move that will mark the beginning of the end of the third Senate trial for a president in US history."
27,Margot Robbie accessorizes with a chicken on the red carpet http://bhne.ws/PvFfkum
28,"As if further proof was needed, the Washington Interscholastic Activities Association RPI rankings has the Ellensburg High School girls ranked as the No. 1 2A girls basketball team in the state. The best team in the state plays Quincy at home tonight at 5:45 p.m. The boys game is at 7:15 p.m."
29,"UPDATE: The Senate on Friday voted to block any witnesses from being called in President Donald Trump’s impeachment trial, a move that will mark the beginning of the end of the third Senate trial for a president in US history."
30,Durango Police installed a surveillance camera at Ninth Street and Main Avenue to monitor the crowd remotely.
31,"""This debate is not over and the House will take prompt action next week,"" House Speaker Mitzi Johnson (D-South Hero) said in a statement."
32,"Caught on camera out at Cleveland Hopkins International Airport, snowy owls have officially migrated to Northeast Ohio."
33,"Happening Now: The Senate rejected the idea of summoning witnesses for President Donald Trump’s impeachment trial late Friday, all but ensuring his acquittal. But senators considered pushing off final voting on his fate to next week."
34,Djokovic faces Thiem in Open final
35,"Postpartum support groups can be extremely helpful to new parents looking for advice and camaraderie, but finding this type of support can be difficult:"
36,"Savor the weekend ahead with Guy Fieri, Coyo Taco, Kush by LoKal, and more."
37,"Peer Support Space works to destigmatize mental health struggles, while promoting wellness through peer recovery."
38,"Get ready, get set, go! The annual Snowdown bed races are off and bringing the competition. Durango Police will race Durango Fire, the City of Durango staff will race La Plata County staff and more. Check it out!"
39,"The Senate proposal for the fiscal year that starts July 1 would be about a 2 percent increase over the current year’s budget. Also, it exceeds a $91.4 billion budget proposal that Gov. Ron DeSantis released in November."
40,Detroit is home to a rock subgenre of the extraterrestrial variety: diabolical space rock sludge.
41,A man was shot to death at a Chico motel last week. The incident marks the first nonvehicular homicide in the city since 2018.
42,"Ever since the $9.2 billion — and counting — rail project leaped off the drawing board and attached itself to our wallets and purses, we’ve been told how the station on the Kamehameha Highway edge of the stadium’s property would make commuting to events there convenient as well as help relieve congestion at the site. A “game changer,” it has been repeatedly called."
43,"Ten years later, Chewbacchus is still a charmingly motley do-it-yourself affair, with piecemeal costumes and rickety rolling props, only 10 times bigger. The 2011 parade may have included 200 participants. This year, 2,000 marchers are expected."
44,LOCAL ARTS: More than 100 new works will be on display during the 11th annual Artist Showcase opening at Northwind Arts Center on Saturday. #JeffersonCounty #JeffCoNews #PortTownsend
45,Keep your holiday lighting up to celebrate the Portland Winter Light Festival. Sponsored content.
46,"The 10 Best Free and Cheap Events Happening in Dallas This Weekend, Jan. 31 – Feb. 2."
47,The Australian capital region declared a state of emergency on Friday because of an out-of-control forest fire burning erratically to its south.
48,"Critic Jenifer Moore writes that Cincinnati Shakespeare Company's ""All the Way"" accurately depicts the chaos of a nation in turmoil following the assassination of President John F. Kennedy and the unease Americans felt in President Lyndon B. Johnson’s leadership."
49,The vote on allowing new witnesses was defeated 51-49 on a near party-line vote.
50,LIVE VIDEO: Wind Advisory just issued for Saturday in Spokane and much of the Inland Northwest. Video courtesy of KHQ Local News
51,Happy hour at White Pie begins with one question: What is happy hour at a pizza joint without a pizza deal?
52,It’s been a Pence-ive kind of Madweek.
53,"If you’ve been injured in a car accident, hire an experienced personal injury law attorney. Call Spencer Farris at The S.E. Farris Law Firm (@StLouisPersonalInjury) for a free consultation or visit his website for more information: FarrisLaw.net 📞: 314-A-Lawyer"
54,"The victim, who has non life threatening injuries, wasn't involved in the altercation."
55,"#BREAKING The 51-49 vote, one of the most consequential of the trial, fell mostly along party lines."
56,"#Breaking: The Senate on Friday rejected additional witness testimony in President Donald Trump’s impeachment trial, preventing former national security adviser John Bolton and others with first-hand knowledge of Trump’s Ukraine dealings from appearing under oath."
57,The first case of coronavirus has been reported in San Francisco Bay Area
58,A woman shared photos of a dog lying in the street that appeared to have been shot in the face.
59,A reinforcing west-northwest swell continues to pump large surf for most islands as cloudy weather today heralds the return of tradewinds and also wet weather. #HIwx
60,Red Sox to interview D-backs’ Luis Urueta for manager opening http://bhne.ws/wY8WxzQ
61,It's the first time in 50 years that U.S. health officials have imposed a mandatory quarantine order.
62,It's the first time in 50 years that U.S. health officials have imposed a mandatory quarantine order.
